Date,Time,Home,Away,Home LINE,Away LINE,Home Win,Away Win,Pick,Pick value,BH Away,BH Home,Away%,Home%,Away Team,Away Edge,Home Team,Home Edge,Risk,Result,Result Unit,Away Team,Home Team,MP Away,,,,MP Home,MP Away,MP Home,MP Away Edge,MP Home edge,Team,Risk,Result,
10/13/2018,9:05 PM,Arizona Coyotes,Buffalo Sabres,-155,140,60.03%,39.97%,Arizona Coyotes -155,2.73%,140,-155,41.67%,60.78%,Buffalo Sabres,-1.70%,Arizona Coyotes,-0.75%,,,,,,,,,,,,,,,,,,
10/13/2018,10:05 PM,Colorado Avalanche,Calgary Flames,-123,111,56.47%,43.53%,Colorado Avalanche -123,1.97%,111,-123,47.39%,55.16%,Calgary Flames,-3.86%,Colorado Avalanche,1.31%,,,,,,,,,,,,,,,,,,
10/14/2018,1:05 PM,New Jersey Devils,San Jose Sharks,104,-115,54.22%,45.78%,New Jersey Devils 104,4.22%,-115,104,53.49%,49.02%,San Jose Sharks,-7.71%,New Jersey Devils,5.20%,130,W,5.2,,,,,,,,,,,,,,,
10/14/2018,7:05 PM,Winnipeg Jets,Carolina Hurricanes,-170,153,62.88%,37.12%,Winnipeg Jets -170,0.58%,153,-170,39.53%,62.96%,Carolina Hurricanes,-2.41%,Winnipeg Jets,-0.08%,,,,,,,,,,,,,,,,,,
10/14/2018,7:05 PM,St. Louis Blues,Anaheim Ducks,-150,136,52.56%,47.44%,Anaheim Ducks 136,4.74%,136,-150,42.37%,60.00%,Anaheim Ducks,5.07%,St. Louis Blues,-7.44%,127,W,6.89,,,,,,,,,,,,,,,
10/15/2018,7:35 PM,Ottawa Senators,Dallas Stars,158,-175,36.63%,63.37%,Dallas Stars -175,1.57%,-175,158,63.64%,38.76%,Dallas Stars,-0.27%,Ottawa Senators,-2.13%,,,,,,,,,,,,,,,,,,
10/15/2018,7:35 PM,Montreal Canadiens,Detroit Red Wings,-153,138,65.23%,34.77%,Montreal Canadiens -153,4.03%,138,-153,42.02%,60.47%,Detroit Red Wings,-7.25%,Montreal Canadiens,4.76%,119,W,4.76,,,,,,,,,,,,,,,
10/15/2018,7:35 PM,Toronto Maple Leafs,Los Angeles Kings,-171,154,67.82%,32.18%,Toronto Maple Leafs -171,4.32%,154,-171,39.37%,63.10%,Los Angeles Kings,-7.19%,Toronto Maple Leafs,4.72%,118,W,4.72,,,,,,,,,,,,,,,
10/15/2018,8:05 PM,Nashville Predators,Minnesota Wild,-195,175,68.29%,31.71%,Nashville Predators -195,3.09%,175,-195,36.36%,66.10%,Minnesota Wild,-4.65%,Nashville Predators,2.19%,,W,,,,,,,,,,,,,,,,
10/16/2018,7:05 PM,Philadelphia Flyers,Florida Panthers,-119,108,52.96%,47.04%,Philadelphia Flyers -119,0.36%,108,-119,48.08%,54.34%,Florida Panthers,-1.04%,Philadelphia Flyers,-1.38%,,,,,,,,,,,,,,,,,,
10/16/2018,7:05 PM,Pittsburgh Penguins,Vancouver Canucks,-235,210,62.24%,37.76%,Vancouver Canucks 210,4.96%,210,-235,32.26%,70.15%,Vancouver Canucks,5.50%,Pittsburgh Penguins,-7.91%,138,W,11.55,,,,,,,,,,,,,,,
10/16/2018,7:35 PM,Tampa Bay Lightning,Carolina Hurricanes,-160,144,57.87%,42.13%,Carolina Hurricanes 144,0.83%,144,-160,40.98%,61.54%,Carolina Hurricanes,1.15%,Tampa Bay Lightning,-3.67%,,,,,,,,,,,,,,,,,,
10/16/2018,8:05 PM,Minnesota Wild,Arizona Coyotes,-160,144,60.86%,39.14%,Minnesota Wild -160,2.06%,144,-160,40.98%,61.54%,Arizona Coyotes,-1.84%,Minnesota Wild,-0.68%,,,,,,,,,,,,,,,,,,
10/17/2018,9:45 PM,Calgary Flames,Boston Bruins,-114,103,49.56%,50.44%,Boston Bruins 103,0.44%,103,-114,49.26%,53.27%,Boston Bruins,1.18%,Calgary Flames,-3.71%,,,,,,,,,,,,,,,,,,
10/18/2018,7:05 PM,Columbus Blue Jackets,Philadelphia Flyers,-152,137,61.65%,38.35%,Columbus Blue Jackets -152,1.45%,137,-152,42.19%,60.32%,Philadelphia Flyers,-3.84%,Columbus Blue Jackets,1.33%,,,,,,,,,,,,,,,,,,
10/18/2018,7:05 PM,New Jersey Devils,Colorado Avalanche,-140,127,58.06%,41.94%,New Jersey Devils -140,0.46%,127,-140,44.05%,58.33%,Colorado Avalanche,-2.11%,New Jersey Devils,-0.27%,,,,,,,,,,,,,,,,,,
10/18/2018,8:05 PM,Winnipeg Jets,Vancouver Canucks,-259,230,62.74%,37.26%,Vancouver Canucks 230,3.86%,230,-259,30.30%,72.14%,Vancouver Canucks,6.96%,Winnipeg Jets,-9.40%,174,L,-6.96,,,,,,,,,,,,,,,
10/18/2018,9:10 PM,Edmonton Oilers,Boston Bruins,104,-115,43.85%,56.15%,Boston Bruins -115,1.35%,-115,104,53.49%,49.02%,Boston Bruins,2.66%,Edmonton Oilers,-5.17%,,L,,,,,,,,,,,,,,,,
10/18/2018,10:35 PM,San Jose Sharks,Buffalo Sabres,-240,214,72.97%,27.03%,San Jose Sharks -240,4.47%,214,-240,31.85%,70.59%,Buffalo Sabres,-4.82%,San Jose Sharks,2.38%,,W,,,,,,,,,,,,,,,,
10/18/2018,10:35 PM,Los Angeles Kings,New York Islanders,-169,152,58.17%,41.83%,New York Islanders 152,2.13%,152,-169,39.68%,62.83%,New York Islanders,2.15%,Los Angeles Kings,-4.66%,,W,,,,,,,,,,,,,,,,
10/19/2018,8:05 PM,Dallas Stars,Minnesota Wild,-137,124,64.15%,35.85%,Dallas Stars -137,3.05%,124,-137,44.64%,57.81%,Minnesota Wild,-8.79%,Dallas Stars,6.34%,159,L,-8.69,,,,,,,,,,,,,,,
